"word1","freq"
"according",777
"less",777
"several",777
"coming",776
"five",773
"however",770
"maybe",770
"side",765
"friday",762
"saw",755
"government",753
"wasnt",752
"whole",752
"young",750
"fact",748
"office",742
"full",741
"often",736
"law",735
"local",735
"id",732
"probably",732
"please",729
"almost",728
"weeks",728
"weekend",722
"tonight",721
"states",719
"isnt",715
"soon",715
"care",711
"using",710
"couple",707
"seen",707
"stop",705
"win",705
"idea",702
"girl",701
"half",701
"american",700
"party",699
"comes",691
"national",691
"friend",690
"news",690
"hit",689
"country",688
"theyre",685
"blog",683
"community",680
"lost",679
"support",678
"students",677
"wait",677
"heart",676
"black",675
"remember",672
"become",671
"women",667
"anyone",665
"number",663
"health",662
"court",659
"mind",658
"power",653
"line",652
"else",648
"taking",648
"cut",645
"guys",645
"car",643
"face",638
"program",636
"street",636
"pay",633
"plan",633
"add",631
"area",625
"talk",624
"experience",623
"saturday",623
"important",622
"system",622
"check",620
"books",619
"information",619
"instead",619
"behind",618
"john",618
"road",616
"forward",615
"leave",615
"move",606
"whether",606
"following",604
"summer",598
"former",597
"late",596
"means",596
"park",596
"wont",596
"ready",595
"list",594
"watch",594
"monday",590
"bring",589
"hand",588
"quite",588
"decided",587
"mean",587
"running",586
"problem",585
"college",584
"amazing",583
"playing",583
"true",583
"class",582
"order",582
"favorite",579
"given",579
"rather",578
"service",578
"either",577
"project",577
"special",577
"university",576
"seems",575
"share",575
"sometimes",575
"among",574
"third",573
"art",572
"members",571
"finally",569
"watching",566
"close",564
"stay",563
"writing",562
"needs",561
"outside",561
"saying",561
"words",560
"lets",559
"red",559
"rest",559
"sunday",559
"deal",557
"question",557
"reading",554
"beautiful",553
"word",553
"across",552
"history",552
"ask",550
"future",550
"couldnt",548
"knew",548
"death",547
"buy",545
"hear",545
"living",544
"looks",544
"schools",544
"thinking",544
"bill",542
"market",541
"beer",540
"body",539
"light",539
"needed",539
"taken",539
"director",538
"film",538
"whats",538
"child",536
"six",535
"heard",534
"series",533
"board",532
"movie",532
"parents",532
"easy",531
"men",531
"tomorrow",529
"gave",528
"large",527
"guy",525
"matter",524
"points",524
"social",524
"especially",523
"woman",523
"april",522
"officials",520
"north",519
"gets",518
"york",518
"department",517
"cool",515
"march",515
"felt",514
"short",514
"turn",513
"won",513
"awesome",511
"event",511
"near",511
"federal",509
"tuesday",509
"front",507
"ones",507
"thursday",507
"baby",502
"lives",501
"mr",501
"twitter",501
"although",500
"building",500
"town",498
"wish",496
"mother",494
"goes",493
"green",491
"havent",491
"perfect",491
"south",490
"within",490
"coach",489
"d",487
"played",486
"added",485
"miss",485
"spring",485
"card",484
"record",484
"phone",483
"spent",483
"west",481
"san",480
"players",479
"store",479
"turned",478
"reason",476
"enjoy",475
"hot",472
"report",471
"stuff",471
"shes",470
"wrong",470
"fall",468
"learn",468
"son",467
"possible",466
"tried",466
"inside",465
"meet",464
"available",463
"fire",463
"tax",463
"feeling",462
"final",462
"girls",462
"moment",462
"district",459
"write",458
"clear",456
"hey",456
"chance",455
"birthday",452
"held",452
"strong",452
"began",450
"shot",450
"known",449
"paper",449
"per",449
"looked",447
"political",446
"lead",445
"takes",445
"obama",443
"process",443
"create",442
"issue",442
"wednesday",442
"control",441
"worked",440
"-year-old",439
"eat",439
"general",439
"fans",438
"mom",438
"talking",438
"age",435
"pick",435
"continue",434
"father",434
"services",434
"works",434
"field",433
"giving",433
"teams",433
"wants",433
"church",431
"recent",431
"song",431
"space",431
"meeting",430
"online",429
"picture",429
"media",428
"ohio",428
"single",428
"happen",427
"jobs",427
"personal",425
"visit",425
"major",424
"challenge",423
"based",422
"happened",420
"excited",419
"guess",419
"sweet",419
"walk",419
"worth",419
"sense",416
"site",416
"ways",414
"weve",414
"yeah",414
"starting",413
"gone",412
"recently",412
"break",411
"ok",411
"perhaps",411
"youll",411
"education",410
"include",410
"likely",410
"hold",409
"issues",409
"level",408
"price",408
"drive",407
"race",407
"simply",407
"air",405
"hate",405
"washington",405
"became",404
"nearly",401
"page",401
"trip",401
"offer",400
"feet",399
"human",397
"christmas",395
"hair",395
"piece",395
"huge",394
"longer",394
"questions",394
"sleep",394
"united",394
"act",391
"goal",391
"plans",391
"understand",391
"brought",390
"--",389
"boy",389
"dinner",389
"hands",389
"received",389
"seem",389
"video",389
"loved",388
"return",388
"cost",387
"tv",387
"middle",386
"shows",386
"hour",385
"sent",385
"usually",384
"expected",382
"spend",381
"wine",381
"club",379
"door",379
"knows",379
"hell",378
"war",376
"problems",375
"wonderful",375
"companies",374
"wife",374
"wouldnt",374
"design",373
"due",373
"energy",372
"eyes",372
"interesting",372
"oil",372
"earlier",371
"rock",371
"cleveland",370
"brown",369
"jesus",369
"cause",368
"fine",368
"provide",368
"seeing",367
"blue",365
"staff",365
"crazy",364
"finished",364
"player",364
"bed",363
"campaign",361
"cover",361
"financial",361
"round",361
"sorry",361
"sound",361
"career",360
"billion",359
"despite",359
"training",359
"husband",358
"force",357
"opportunity",357
"ball",356
"research",356
"whose",356
"sales",355
"simple",354
"attention",353
"daughter",353
"lots",353
"budget",351
"jersey",351
"haha",350
"wrote",350
"california",348
"decision",348
"seven",348
"cold",347
"low",347
"conference",346
"david",345
"louis",345
"main",345
"waiting",345
"exactly",344
"example",344
"fresh",344
"position",344
"certain",343
"stand",343
"success",341
"definitely",339
"pass",339
"w",339
"yesterday",339
"arent",338
"stories",338
"met",336
"quickly",336
"welcome",336
"current",335
"dark",335
"football",335
"gonna",335
"voice",334
"bar",333
"character",333
"east",333
"bought",332
"kept",332
"workers",331
"dr",330
"key",330
"medical",330
"save",329
"band",328
"june",328
"followed",327
"glad",327
"lunch",327
"wall",327
"cup",326
"employees",326
"development",325
"league",325
"similar",325
"b",324
"certainly",324
"total",324
"vote",324
"america",323
"led",323
"moved",323
"learned",322
"pictures",322
"sounds",322
"star",322
"boys",321
"entire",321
"mark",321
"step",321
"email",320
"upon",320
"wonder",320
"allow",318
"dog",318
"economic",318
"practice",318
"send",318
"sign",317
"truth",317
"afternoon",316
"chicago",316
"council",316
"deep",316
"events",316
"facebook",316
"fan",316
"higher",316
"weather",316
"died",315
"ideas",315
"answer",314
"average",313
"form",313
"original",313
"written",313
"focus",312
"la",312
"loss",312
"type",312
"action",311
"spending",311
"table",311
"view",311
"box",310
"extra",310
"statement",310
"whatever",310
"complete",309
"paid",309
"alone",308
"youve",308
"changes",307
"dead",307
"expect",307
"involved",307
"press",307
"straight",307
"economy",306
"chief",305
"heat",305
"international",305
"property",305
"seemed",305
"created",304
"funny",304
"brother",303
"hall",303
"security",303
"hospital",302
"judge",302
"moving",302
"super",302
"beach",301
"james",301
"amount",300
"executive",300
"website",300
"details",299
"heres",299
"note",299
"rights",299
"track",299
"bowl",298
"groups",298
"land",298
"manager",298
"private",297
"relationship",297
"choice",296
"completely",295
"seriously",295
"bank",294
"consider",294
"style",294
"busy",293
"changed",293
"daily",293
"member",293
"study",293
"difficult",292
"performance",292
"begin",291
"comment",291
"interest",291
"rate",291
"sit",291
"ahead",289
"calls",289
"industry",289
"paul",289
"date",288
"evening",288
"released",288
"beginning",287
"places",287
"reported",287
"finish",286
"michael",286
"plus",286
"scene",286
"dream",285
"allowed",284
"committee",283
"portland",282
"anyway",281
"growing",281
"oregon",281
"rules",281
"forget",280
"beyond",279
"central",279
"clean",279
"fit",279
"helped",279
"hotel",279
"image",279
"increase",279
"missed",279
"opening",279
"n",278
"fell",277
"fight",277
"garden",277
"gift",277
"sports",277
"etc",276
"ground",276
"winter",276
"credit",275
"gives",275
"leaders",275
"photo",275
"role",275
"sold",275
"stage",275
"student",275
"attorney",274
"pieces",274
"review",274
"leaving",273
"mine",273
"addition",272
"coffee",272
"named",272
"projects",272
"quality",272
"senior",272
"tweet",272
"version",272
"miles",270
"republican",270
"throughout",270
"cake",269
"chicken",269
"ended",269
"killed",269
"quarter",269
"regular",269
"dance",268
"product",268
"quick",268
"safety",268
"fast",267
"okay",267
"overall",267
"residents",267
"sad",267
"biggest",266
"die",266
"eight",266
"internet",266
"lord",266
"totally",266
"blood",265
"fish",265
"kid",265
"lose",265
"situation",265
"sugar",265
"characters",264
"drink",264
"evidence",264
"included",264
"join",264
"parts",264
"positive",264
"sort",264
"apparently",263
"beat",263
"cards",263
"color",263
"luck",263
"passed",263
"river",263
"sister",263
"value",263
"born",262
"chris",262
"computer",262
"data",262
"figure",262
"mostly",262
"present",262
"sitting",262
"costs",261
"fair",261
"families",261
"message",261
"result",261
"de",260
"eye",260
"faith",260
"lower",260
"mix",260
"products",260
"legal",259
"photos",259
"previous",259
"programs",259
"release",259
"restaurant",259
"shit",259
"wow",259
"ability",258
"ran",258
"size",258
"sun",258
"build",257
"chocolate",257
"choose",257
"hearing",257
"poor",257
"union",257
"annual",256
"july",256
"onto",256
"spot",256
"natural",255
"serve",255
"cancer",254
"hurt",254
"nature",254
"starts",254
"title",254
"ice",253
"lovely",253
"period",253
"cases",252
"eating",252
"policy",252
"sale",252
"areas",251
"cream",251
"currently",251
"planning",251
"risk",251
"difference",250
"mike",250
"telling",250
"winning",250
"floor",249
"language",249
"sell",249
"smith",249
"cheese",248
"meant",248
"c",247
"common",247
"minute",247
"pain",247
"potential",247
"prices",247
"records",247
"rose",247
"serious",247
"stopped",247
"wear",247
"built",246
"considered",246
"earth",246
"learning",246
"putting",246
"test",246
"texas",246
"tour",246
"toward",246
"dad",245
"includes",245
"served",245
"society",245
"speak",245
"truly",245
"trust",245
"effort",244
"results",244
"shop",244
"defense",243
"feels",243
"imagine",243
"officer",243
"older",243
"opened",243
"driving",242
"english",242
"realize",242
"showed",242
"tough",242
"various",242
"base",241
"numbers",241
"runs",241
"tea",241
"travel",241
"walking",241
"growth",240
"touch",240
"proud",239
"radio",239
"draft",238
"filled",238
"holiday",238
"grow",237
"walked",237
"ya",237
"asking",236
"fourth",236
"taste",236
"block",235
"king",235
"insurance",234
"thoughts",234
"throw",234
"valley",234
"absolutely",233
"contract",233
"happens",233
"january",233
"nine",233
"ride",233
"easily",232
"particular",232
"popular",232
"rain",232
"safe",232
"bottom",231
"effect",231
"homes",231
"tickets",231
"agreed",230
"healthy",230
"mothers",230
"term",230
"account",229
"immediately",229
"interested",229
"sat",229
"technology",229
"warm",229
"catch",228
"customers",228
"gas",228
"leader",228
"contact",227
"fuck",227
"items",227
"keeping",227
"officers",227
"plays",227
"hill",226
"hoping",226
"lady",226
"library",226
"remain",226
"sex",226
"enjoyed",225
"fear",225
"reality",225
"required",225
"supposed",225
"voters",225
"article",224
"association",224
"closed",224
"normal",224
"x",224
"marriage",223
"spirit",223
"ur",223
"agency",222
"raised",222
"bay",221
"glass",221
"r",221
"shopping",221
"approach",220
"creative",220
"military",220
"calling",219
"subject",219
"wearing",219
"double",218
"drop",218
"lived",218
"offered",218
"caught",217
"missing",217
"kitchen",216
"leading",216
"skin",216
"clearly",215
"damn",215
"listen",215
"loves",215
"orange",215
"p",215
"reach",215
"science",215
"watched",215
"weight",215
"worst",215
"latest",214
"lines",214
"plant",214
"station",214
"stock",214
"tired",214
"trade",214
"helping",213
"letter",213
"listening",213
"los",213
"rich",213
"teacher",213
"traffic",213
"cute",212
"dress",212
"february",212
"lake",212
"official",212
"production",212
"range",212
"reports",212
"goals",211
"particularly",211
"senate",211
"taxes",211
"yards",211
"access",210
"competition",210
"mayor",210
"reasons",210
"romney",210
"tells",210
"ten",210
"text",210
"crime",209
"lack",209
"receive",209
"signed",209
"turns",209
"announced",208
"continued",208
"island",208
"terms",208
"posted",207
"response",207
"downtown",206
"except",206
"folks",206
"gold",206
"leaves",206
"novel",206
"recipe",206
"roll",206
"sick",206
"tree",206
"arrived",205
"author",205
"authorities",205
"charges",205
"china",205
"christ",205
"debt",205
"planned",205
"raise",205
"secret",205
"square",205
"bus",204
"collection",204
"comments",204
"none",204
"vs",204
"audience",203
"avoid",203
"charged",203
"drug",203
"content",202
"eventually",202
"owner",202
"picked",202
"score",202
"standing",202
"train",202
"address",201
"agree",201
"failed",201
"guard",201
"management",201
"pressure",201
"slow",201
"winner",201
"album",200
"liked",200
"trial",200
"attack",199
"broken",199
"dry",199
"joe",199
"johnson",199
"knowing",199
"november",199
"published",199
"songs",199
"unless",199
"victory",199
"wide",199
"baseball",198
"christian",198
"corner",198
"dollars",198
"finding",198
"forever",198
"french",198
"interview",198
"lucky",198
"remains",198
"scored",198
"cook",197
"cuts",197
"democratic",197
"g",197
"married",197
"moments",197
"pulled",197
"search",197
"shooting",197
"spokesman",197
"worse",197
"adding",196
"doctor",196
"gotta",196
"organization",196
"via",196
"wanna",196
"additional",195
"doubt",195
"grand",195
"investigation",195
"names",195
"election",194
"steve",194
"levels",193
"modern",193
"museum",193
"offers",193
"stars",193
"thinks",193
"wedding",193
"civil",192
"hasnt",192
"sauce",192
"bag",191
"basketball",191
"claim",191
"culture",191
"movement",191
"peace",191
"ass",190
"bread",190
"cash",190
"conversation",190
"match",190
"reached",190
"showing",190
"smile",190
"towards",190
"twice",190
"award",189
"broke",189
"george",189
"individual",189
"k",189
"administration",188
"avenue",188
"benefits",188
"decide",188
"dropped",188
"efforts",188
"marketing",188
"session",188
"window",188
"angeles",187
"butter",187
"century",187
"democrats",187
"features",187
"holding",187
"images",187
"managed",187
"movies",187
"realized",187
"republicans",187
"skills",187
"surprise",187
"arizona",186
"december",186
"delicious",186
"easier",186
"inspired",186
"limited",186
"link",186
"seasons",186
"shots",186
"trouble",186
"web",186
"charge",185
"e",185
"female",185
"heavy",185
"hits",185
"jump",185
"pair",185
"physical",185
"rates",185
"seconds",185
"authority",184
"brothers",184
"ha",184
"indeed",184
"mention",184
"milk",184
"provided",184
"salt",184
"fat",183
"menu",183
"model",183
"patients",183
"pop",183
"brand",182
"breakfast",182
"helps",182
"justice",182
"nfl",182
"notice",182
"paying",182
"respect",182
"robert",182
"spread",182
"talked",182
"animals",181
"battle",181
"exciting",181
"fill",181
"florida",181
"plenty",181
"professional",181
"scheduled",181
"seat",181
"snow",181
"thousands",181
"buying",180
"crowd",180
"firm",180
"fruit",180
"increased",180
"m",180
"readers",180
"todays",180
"losing",179
"measure",179
"returned",179
"significant",179
"successful",179
"teachers",179
"agreement",178
"brain",178
"everybody",178
"joy",178
"mentioned",178
"stadium",178
"surprised",178
"tom",178
"wild",178
"williams",178
"jones",177
"magic",177
"nation",177
"scott",177
"speaking",177
"becomes",176
"becoming",176
"coast",176
"congress",176
"designed",176
"francisco",176
"meaning",176
"october",176
"slightly",176
"theme",176
"unique",176
"writer",176
"writers",176
"arrested",175
"cars",175
"explain",175
"fund",175
"stick",175
"thomas",175
"willing",175
"appears",174
"balance",174
"camera",174
"ends",174
"global",174
"holy",174
"london",174
"loving",174
"protect",174
"rd",174
"speed",174
"strength",174
"fully",173
"path",173
"prison",173
"section",173
"countries",172
"foot",172
"worry",172
"army",171
"bigger",171
"grew",171
"kill",171
"plants",171
"serving",171
"treat",171
"treatment",171
"carry",170
"congrats",170
"golden",170
"highly",170
"impact",170
"nations",170
"neighborhood",170
"network",170
"nobody",170
"obviously",170
"opinion",170
"self",170
"soul",170
"construction",169
"cross",169
"freedom",169
"likes",169
"peter",169
"posts",169
"push",169
"americans",168
"august",168
"clothes",168
"commission",168
"described",168
"detroit",168
"flowers",168
"forced",168
"labor",168
"laws",168
"pages",168
"pull",168
"selling",168
"september",168
"stores",168
"youth",168
"actual",167
"cast",167
"celebrate",167
"primary",167
"screen",167
"soft",167
"wed",167
"apple",166
"artist",166
"attempt",166
"cities",166
"classes",166
"closer",166
"commercial",166
"degrees",166
"followers",166
"improve",166
"omg",166
"powerful",166
"shoes",166
"southern",166
"hopefully",165
"progress",165
"schedule",165
"tiny",165
"trees",165
"variety",165
"british",164
"matt",164
"option",164
"ryan",164
"traditional",164
"western",164
"businesses",163
"camp",163
"classic",163
"copy",163
"murder",163
"shouldnt",163
"unfortunately",163
"creating",162
"hopes",162
"machine",162
"dear",161
"illinois",161
"jim",161
"nd",161
"otherwise",161
"pink",161
"require",161
"shall",161
"theyve",161
"behavior",160
"continues",160
"count",160
"enter",160
"foundation",160
"mission",160
"notes",160
"q",160
"somewhere",160
"artists",159
"bridge",159
"environment",159
"fellow",159
"funding",159
"greater",159
"income",159
"necessary",159
"options",159
"possibly",159
"region",159
"related",159
"rule",159
"systems",159
"appeared",158
"aside",158
"benefit",158
"google",158
"grade",158
"greatest",158
"guilty",158
"headed",158
"hed",158
"journey",158
"largest",158
"paint",158
"prepared",158
"quiet",158
"revenue",158
"rise",158
"sharing",158
"turning",158
"edge",157
"films",157
"gay",157
"michigan",157
"offering",157
"parties",157
"somehow",157
"source",157
"understanding",157
"worlds",157
"baking",156
"discovered",156
"frank",156
"happening",156
"resources",156
"signs",156
"van",156
"accept",155
"bear",155
"birth",155
"brings",155
"claims",155
"compared",155
"demand",155
"directly",155
"episode",155
"festival",155
"filed",155
"handle",155
"injury",155
"jackson",155
"stuck",155
"anymore",154
"bottle",154
"independent",154
"memory",154
"placed",154
"santa",154
"spoke",154
"youd",154
"activities",153
"apart",153
"beauty",153
"bright",153
"covered",153
"damage",153
"doctors",153
"extremely",153
"majority",153
"meat",153
"o",153
"politics",153
"setting",153
"smaller",153
"standard",153
"suit",153
"television",153
"till",153
"afraid",152
"appear",152
"candidates",152
"cooking",152
"criminal",152
"degree",152
"dogs",152
"familiar",152
"funds",152
"honor",152
"j",152
"jack",152
"martin",152
"owners",152
"tournament",152
"yellow",152
"hi",151
"row",151
"sides",151
"speech",151
"status",151
"werent",151
"wood",151
"arts",150
"chinese",150
"feature",150
"missouri",150
"pool",150
"slowly",150
"teaching",150
"whos",150
"animal",149
"citys",149
"decades",149
"discussion",149
"dreams",149
"excellent",149
"fantastic",149
"generally",149
"host",149
"housing",149
"multiple",149
"nights",149
"prosecutors",149
"rice",149
"specific",149
"thus",149
"tip",149
"charles",148
"digital",148
"districts",148
"fashion",148
"gov",148
"heading",148
"knowledge",148
"legislation",148
"sites",148
"tweets",148
"uk",148
"weird",148
"capital",147
"cookies",147
"faces",147
"hundreds",147
"shown",147
"stood",147
"stupid",147
"teach",147
"therefore",147
"advantage",146
"banks",146
"basic",146
"effective",146
"material",146
"miller",146
"request",146
"somebody",146
"usual",146
"younger",146
"chairman",145
"discuss",145
"draw",145
"hello",145
"lately",145
"sea",145
"accepted",144
"advice",144
"aint",144
"basically",144
"fucking",144
"governor",144
"larger",144
"mary",144
"mouth",144
"neither",144
"noticed",144
"partner",144
"surgery",144
"background",143
"blues",143
"championship",143
"crisis",143
"decisions",143
"fighting",143
"foreign",143
"injuries",143
"male",143
"millions",143
"shape",143
"shared",143
"steps",143
"streets",143
"abuse",142
"bringing",142
"caused",142
"choices",142
"comfortable",142
"gods",142
"junior",142
"literally",142
"meal",142
"memories",142
"noted",142
"purpose",142
"remaining",142
"village",142
"actions",141
"assistant",141
"craft",141
"drugs",141
"hadnt",141
"info",141
"parking",141
"shoot",141
"singing",141
"bills",140
"challenges",140
"changing",140
"clients",140
"co",140
"eggs",140
"era",140
"europe",140
"forgot",140
"newark",140
"ring",140
"trail",140
"airport",139
"alive",139
"bunch",139
"defensive",139
"expensive",139
"flight",139
"hang",139
"honest",139
"opportunities",139
"ordered",139
"plain",139
"proposed",139
"talent",139
"tend",139
"admit",138
"christie",138
"develop",138
"falling",138
"farm",138
"feelings",138
"keeps",138
"leadership",138
"location",138
"nba",138
"pan",138
"pepper",138
"pot",138
"stayed",138
"strange",138
"wake",138
"apartment",137
"bob",137
"concert",137
"decade",137
"dude",137
"hanging",137
"immigration",137
"smart",137
"soup",137
"acting",136
"begins",136
"colors",136
"concept",136
"fly",136
"foods",136
"ingredients",136
"inspiration",136
"investment",136
"mountain",136
"restaurants",136
"shut",136
"taught",136
"adult",135
"appreciate",135
"complex",135
"direction",135
"estate",135
"failure",135
"grace",135
"highest",135
"joined",135
"print",135
"provides",135
"purchase",135
"responsible",135
"richard",135
"standards",135
"task",135
"victims",135
"allows",134
"experienced",134
"nearby",134
"ticket",134
"associated",133
"aware",133
"baltimore",133
"bet",133
"chapter",133
"denver",133
"drinking",133
"fail",133
"grant",133
"guide",133
"kick",133
"mad",133
"pounds",133
"prepare",133
"seeking",133
"ultimately",133
"allowing",132
"anywhere",132
"blessed",132
"cat",132
"diego",132
"disease",132
"exercise",132
"heights",132
"mass",132
"mexico",132
"prize",132
"produce",132
"remove",132
"sleeping",132
"walls",132
"active",131
"childrens",131
"committed",131
"customer",131
"declined",131
"england",131
"everywhere",131
"famous",131
"gun",131
"hitting",131
"markets",131
"sky",131
"staying",131
"agent",130
"al",130
"authors",130
"boston",130
"candidate",130
"code",130
"concerned",130
"consumers",130
"division",130
"easter",130
"enjoying",130
"environmental",130
"fix",130
"illegal",130
"investors",130
"jazz",130
"magazine",130
"meanwhile",130
"plot",130
"violence",130
"austin",129
"campus",129
"debate",129
"developed",129
"feb",129
"governments",129
"impossible",129
"incident",129
"route",129
"t",129
"tight",129
"dish",128
"egg",128
"focused",128
"grown",128
"heads",128
"killing",128
"musical",128
"pack",128
"plate",128
"regional",128
"suddenly",128
"vice",128
"-year",127
"beers",127
"concerns",127
"conditions",127
"dangerous",127
"determined",127
"fired",127
"leads",127
"passion",127
"prevent",127
"reduce",127
"salad",127
"separate",127
"studio",127
"target",127
"wind",127
"activity",126
"approved",126
"blazers",126
"crew",126
"evil",126
"inc",126
"lee",126
"matters",126
"negative",126
"plastic",126
"presence",126
"promise",126
"terrible",126
"visiting",126
"angry",125
"awards",125
"coaches",125
"considering",125
"desire",125
"direct",125
"gain",125
"legs",125
"presented",125
"rep",125
"stamp",125
"attend",124
"horse",124
"loud",124
"meetings",124
"mental",124
"protection",124
"respond",124
"sexual",124
"shed",124
"studies",124
"wins",124
"centers",123
"cheap",123
"companys",123
"concern",123
"cutting",123
"emergency",123
"fiction",123
"flavor",123
"forces",123
"ladies",123
"laugh",123
"lights",123
"operations",123
"sing",123
"theater",123
"uses",123
"william",123
"dancing",122
"dc",122
"earned",122
"entertainment",122
"gotten",122
"harder",122
"hollywood",122
"ii",122
"peoples",122
"pizza",122
"professor",122
"seats",122
"silver",122
"wondering",122
"accused",121
"andrew",121
"app",121
"arms",121
"browns",121
"driver",121
"everyday",121
"kansas",121
"lemon",121
"minnesota",121
"phoenix",121
"population",121
"threat",121
"tim",121
"tips",121
"tradition",121
"treated",121
"urban",121
"acts",120
"adults",120
"buildings",120
"chose",120
"conservative",120
"critical",120
"dan",120
"dough",120
"entered",120
"facility",120
"guest",120
"jail",120
"lane",120
"metal",120
"miami",120
"offense",120
"somewhat",120
"strategy",120
"truck",120
"unit",120
"unlike",120
"waste",120
"yall",120
"bike",119
"blogs",119
"bond",119
"connection",119
"facing",119
"fingers",119
"flat",119
"giants",119
"hills",119
"item",119
"massive",119
"ms",119
"pray",119
"stands",119
"struck",119
"vacation",119
"vision",119
"alex",118
"arm",118
"bitch",118
"breaking",118
"citizens",118
"combined",118
"davis",118
"drivers",118
"generation",118
"prior",118
"proposal",118
"sources",118
"ah",117
"alcohol",117
"appeal",117
"blame",117
"canada",117
"ending",117
"giant",117
"golf",117
"incredible",117
"individuals",117
"jason",117
"juice",117
"kelly",117
"master",117
"native",117
"obvious",117
"selection",117
"suffered",117
"supporting",117
"transportation",117
"vehicle",117
"windows",117
"circle",116
"comfort",116
"completed",116
"removed",116
"talks",116
"womens",116
"yard",116
"believed",115
"cry",115
"display",115
"enforcement",115
"express",115
"flour",115
"gop",115
"jan",115
"kings",115
"lie",115
"parent",115
"shirt",115
"storm",115
"struggle",115
"suggested",115
"tony",115
"zone",115
"appearance",114
"border",114
"entirely",114
"equipment",114
"experiences",114
"fifth",114
"grateful",114
"hole",114
"lay",114
"listed",114
"maryland",114
"net",114
"panel",114
"papers",114
"previously",114
"recommend",114
"shout",114
"views",114
"believes",113
"diet",113
"drama",113
"emotional",113
"exchange",113
"f",113
"falls",113
"gorgeous",113
"license",113
"lies",113
"northern",113
"random",113
"requires",113
"responsibility",113
"solid",113
"unemployment",113
"apply",112
"ate",112
"bags",112
"bible",112
"circumstances",112
"drove",112
"hearts",112
"influence",112
"letters",112
"loan",112
"mixture",112
"mobile",112
"obamas",112
"oven",112
"prime",112
"sending",112
"stir",112
"stone",112
"advance",111
"cell",111
"chances",111
"determine",111
"employee",111
"empty",111
"experts",111
"flying",111
"houston",111
"introduced",111
"jr",111
"medium",111
"painting",111
"prayer",111
"presidential",111
"proper",111
"relationships",111
"taylor",111
"testing",111
"victim",111
"africa",110
"ages",110
"amazon",110
"appropriate",110
"blow",110
"cafe",110
"click",110
"condition",110
"constantly",110
"correct",110
"false",110
"limit",110
"moves",110
"originally",110
"package",110
"packed",110
"purchased",110
"quarterback",110
"retired",110
"sees",110
"ship",110
"tall",110
"theyll",110
"attacks",109
"contest",109
"effects",109
"extended",109
"fabric",109
"initial",109
"irish",109
"religious",109
"resident",109
"tears",109
"update",109
"users",109
"advertising",108
"bands",108
"cardinals",108
"ceo",108
"colorado",108
"combine",108
"figures",108
"fox",108
"gym",108
"heaven",108
